Pack Name,Release Date,Total TCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Onomatopair-Up,2022-01-19,226340,5658.5,"Gagaga Cowboy, Gagagaga Magician, Utopic Onomatopoeia, Onomatopaira, Gagaga Magician, Gogogo Giant, Number 55: Gogogo Goliath, Zubaba General, Gagaga Sister, Gagaga Academy Emergency Network, Onomatopia, Onomatopickup",Gogogo Golem,Zubababancho Gagagacoat
Knowledge of the Mythlords,2022-01-19,227367,5684.18,"Mythical Beast Master Cerberus, Endymion, the Mighty Master of Magic, Mythical Beast Jackal King, Selene, Queen of the Master Magicians, Reflection of Endymion, Endymion, the Master Magician, Servant of Endymion, Day-Breaker the Shining Magical Warrior, Artemis, the Magistus Moon Maiden, Endymion's Lab, Magical Citadel of Endymion, Spell Power Mastery",Apprentice Magician,"Endymion, the Magistus of Mastery"
Bujin's Vault of Heaven,2022-01-19,205058,5696.06,"Bujinki Amaterasu, Bujintei Kagutsuchi, Bujintei Susanowo, Bujintei Tsukuyomi, Bujin Arasuda, Bujin Mahitotsu, Bujin Mikazuchi, Bujin Torifune, Bujin Yamato, Bujingi Crane, Bujingi Quilin, Bujinki Ahashima",Bujinfidel,Bujincandescence
Blazing Warriors,2022-01-19,257469,5721.53,"Number C105: Battlin' Boxer Comet Cestus, Heroic Champion - Claivesolish, Heroic Champion - Excalibur, Heroic Call, Heroic Envoy, Rank-Up-Magic - The Seventh One, Heroic Challenger - Morning Star, Battlin' Boxer Lead Yoke, Heroic Challenger - Assault Halberd, Heroic Challenger - Thousand Blades, Heroic Champion - Gandiva, Heroic Champion - Kusanagi, Number 105: Battlin' Boxer Star Cestus, Number 79: Battlin' Boxer Nova Kaiser, Stoic Challenge",Heroic Champion - Excalibur,Heroic Call
Mischievous Specters,2022-01-19,184882,5777.56,"Ghostrick Angel of Mischief, Ghostrick Alucard, Ghostrick Dullahan, Ghostrick Fairy, Ghostrick Lantern, Ghostrick Mary, Scapeghost, Ghostrick Mansion, Ghostrick Break, Ghostrick Renovation",Ghostrick Ghoul,Jack-In-The-Hand
Warriors of Legend,2022-01-19,232185,5804.62,"Buster Blader, the Dragon Destroyer Swordsman, Gaia the Magical Knight of Dragons, Sky Galloping Gaia the Dragon Champion, Dragon Buster Destruction Sword, Protector Whelp of the Destruction Swordsman, Buster Dragon, Soldier Gaia the Fierce Knight, Buster Blader, the Destruction Swordmaster, Charging Gaia the Fierce Knight, Gaia the Magical Knight, Lord Gaia the Fierce Knight, Curse of Dragon, the Magical Knight Dragon, Gateway to Chaos",Curse of Dragon,"Curse of Dragon, the Magical Knight Dragon"
Timeworn Legacies,2022-01-19,127864,5812.0,"Number C6: Chronomaly Chaos Atlandis, Chronomaly Nebra Disk, Number 36: Chronomaly Chateau Huyuk, Chronomaly Crystal Chrononaut, Chronomaly Crystal Skull, Chronomaly Technology, Piri Reis Map, Marshalling Field",Stonehenge Methods,Piri Reis Map
Champions of Salvation,2022-01-19,261813,5818.07,"Constellar Ptolemy M7, Constellar Pleiades, Stellarknight Constellar Diamond, Tellarknight Constellar Caduceus, Stellarknight Triverr, Tellarknight Ptolemaeus, Constellar Tellarknights, Tellarknight Lyran, Constellar Caduceus, Constellar Omega, Constellar Sombre, Darktellarknight Batlamyus, Satellarknight Deneb, Stellarknight Delteros, Satellarknight Skybridge, Stellarnova Alpha",Constellar Belt,Tellarknight Altairan
Shark's Pride,2022-01-19,232770,5819.25,"Valiant Shark Lancer, Bahamut Shark, Rank-Up-Magic - The Seventh One, Rank-Up-Magic Quick Chaos, Number C73: Abyss Supra Splash, Number 73: Abyss Splash, Full Armored Black Ray Lancer, Number 32: Shark Drake, Number 37: Hope Woven Dragon Spider Shark, Number C32: Shark Drake Veiss, Number 17: Leviathan Dragon, Number 47: Nightmare Shark, Number 71: Rebarian Shark",Torrential Tribute,Hidden Fangs of Revenge
Exquisite Jet-Black Rose,2022-01-19,233066,5826.65,"Ruddy Rose Dragon, Black Rose Dragon, Black Rose Moonlight Dragon, Crossrose Dragon, Queen Angel of Roses, Garden Rose Flora, Garden Rose Maiden, Rose Lover, Basal Rose Shoot, Black Garden, Frozen Rose, Rose Bell of Revelation",Copy Plant,White Rose Cloister
