Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
The Cerise in the Ebony,2022-01-19,209321,5233.025,"Red-Eyes Darkness Metal Dragon, Meteor Black Comet Dragon, Red-Eyes Black Dragon, Red-Eyes Slash Dragon, Archfiend Black Skull Dragon, Red-Eyes Black Flare Dragon, Red-Eyes Flare Metal Dragon, Hundred Dragon, Darkness Metal, the Dragon of Dark Steel, Inferno Fire Blast, Red-Eyes Fusion, Red-Eyes Insight",,
Gods of Abyss and Arcadia,2022-01-19,209541,6349.727272727273,"Ogdoabyss, the Ogdoadic Overlord, Hieratic Seal of the Heavenly Spheres, Hieratic Seal of Convocation, Ogdoadic Water Lily, Aron, the Ogdoadic King, Hieratic Sky Dragon Overlord of Heliopolis, Hieratic Sun Dragon Overlord of Heliopolis, Hieratic Dragon King of Atum, Nauya, the Ogdoadic Remnant, Nunu, the Ogdoadic Remnant, Hieratic Seal of Creation",,
Hand of Fate,2022-01-19,209670,5241.75,"Arcana Force EX - The Light Ruler, Flower Cardian Lightflare, Arcana Force XXI - The World, Flower Cardian Lightshower, Arcana Force EX - The Dark Ruler, Flower Cardian Boardefly, Flower Cardian Moonflowerviewing, Arcana Reading, Light Barrier, Super Koi Koi",,
Prank Panic!,2022-01-19,211317,5282.925,"Prank-Kids Battle Butler, Ojama King, Prank-Kids Rip-Roarin-Roaster, Diamond Duston, Ojama Knight, Prank-Kids Rocket Ride, Ojama Emperor, Prank-Kids Meow-Meow-Mu, Ojama Country, Ojamagic, Prank-Kids Place, Ojama Trio",,
Spiritual Mastery,2022-01-19,211676,5291.9,"Wynn the Wind Channeler, Awakening of the Possessed, Grand Spiritual Art - Ichirin, Spirit Charmers, Elemental Grace Doriado, Eda the Sun Magician, Aussa the Earth Charmer, Immovable, Eria the Water Charmer, Gentle, Hiita the Fire Charmer, Ablaze, Lyna the Light Charmer, Lustrous, Wynn the Wind Charmer, Verdant, Possessed Partnerships",,
Altered Heraldry,2022-01-19,212132,5303.3,"Number 69: Heraldry Crest, Number 8: Heraldic King Genom-Heritage, Advanced Heraldry Art, Rank-Up-Magic Argent Chaos Force, CXyz Skypalace Babylon, Skypalace Gangaridai, Norito the Moral Leader, Number C69: Heraldry Crest of Horror, Heraldic Beast Amphisbaena, Number 18: Heraldry Patriarch, Charged-Up Heraldry, Marshalling Field",,
Stardust Ties,2022-01-19,212519,5449.205128205128,"Cosmic Blazar Dragon, Shooting Quasar Dragon, Stardust Dragon, Tuning, Shooting Star Dragon, Stardust Warrior, Stardust Spark Dragon, Shooting Riser Dragon, Formula Synchron, Jet Synchron, Duel Link Dragon, the Duel Dragon, Starlight Road",,
Shifting Gears,2022-01-19,213030,5325.75,"Ancient Gear Reactor Dragon, Gear Gigant X, Geargiagear Gigant XG, Platinum Gadget, Ancient Gear Gadjiltron Dragon, Ancient Gear Hydra, Ancient Gear Gadget, Symphonic Warrior Guitaar, Torque Tune Gear, Geargia Change, Geargiagear, Powerhold the Moving Battery",,
Traditions of Trickery,2022-01-19,213731,5776.513513513513,"Gizmek Okami, the Dreaded Deluge Dragon, Gizmek Kaku, the Supreme Shining Sky Stag, Karakuri Super Shogun mdl 00N ""Bureibu"", Gizmek Orochi, the Serpentron Sky Slasher, Karakuri Steel Shogun mdl 00X ""Bureido"", Gizmek Uka, the Festive Fox of Fecundity, Karakuri Shogun mdl 00 ""Burei"", Karakuri Bonze mdl 9763 ""Kunamzan"", Karakuri Komachi mdl 224 ""Ninishi"", Karakuri Merchant mdl 177 ""Inashichi"", Karakuri Cash Cache, Sacred Scrolls of the Gizmek Legend",,
Ties to Mother Nature,2022-01-19,214530,5363.25,"Ritual Beast Ulti-Gaiapelio, Daigusto Eguls, Ritual Beast Ulti-Cannahawk, Daigusto Emeral, Daigusto Laplampilica, Daigusto Sphreez, Ritual Beast Ulti-Apelio, Daigusto Gulldos, Spiritual Beast Cannahawk, Daigusto Phoenix, Ritual Beast Ulti-Kimunfalcos, Ritual Beast Steeds, Ultimate Providence",,
